split,index,filename,pattern,label,sample_rate,channels,duration_s,format,bytes
train,39,1a869ca9-8835-412c-a607-7b68ebc15992.flac,#a#ca#-#-#c-a#-#b#ebc#.flac,answering_machine,16000,1,4.148,FLAC,87163
train,40,voicemail_00341.wav,voicemail_#.wav,voicemail,16000,1,7.7139375,WAV,246890
train,41,013dbd7a-6e82-4f94-af69-d63055d981a5.flac,#dbd#a-#e#-#f#-af#-d#d#a#.flac,ivr,16000,1,6.36,FLAC,135969
train,42,0064135a-32d1-4376-aaec-6b20d4d4a544.flac,#a-#d#-#-aaec-#b#d#d#a#.flac,ivr,16000,1,7.84,FLAC,148999
train,43,incomplete_5617947b-2d4b-45de-a509-628c52881442_normalized.flac,incomplete_#b-#d#b-#de-a#-#c#_normalized.flac,human,16000,1,4.0725,FLAC,82381
train,44,006c9f34-4bcf-4a2a-b810-62ee1ce490e7.flac,#c#f#-#bcf-#a#a-b#-#ee#ce#e#.flac,ivr,16000,1,15.64,FLAC,320212
train,45,voicemail_00181.wav,voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,46,incomplete_e99676f2-f37e-413b-a478-1a1ee52523a1_normalized.flac,incomplete_e#f#-f#e-#b-a#-#a#ee#a#_normalized.flac,human,16000,1,6.6025,FLAC,129577
train,47,fr_human_real_00032.wav,fr_human_real_#.wav,human,16000,1,10.0,WAV,320044
train,48,60266619c7abb7f832138435.wav,#c#abb#f#.wav,human,8000,1,6.315875,WAV,50586
train,49,carrier_de_ivr_00340.wav,carrier_de_ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,50,voicemail_00214.wav,voicemail_#.wav,voicemail,16000,1,9.50775,WAV,304292
train,51,1d799317-342f-477d-8c7e-4598d7da3d23.flac,#d#-#f-#d-#c#e-#d#da#d#.flac,answering_machine,16000,1,13.35,FLAC,258045
train,52,0347d6ea-60d1-4c1c-82d4-ff27d310881f.flac,#d#ea-#d#-#c#c-#d#-ff#d#f.flac,ivr,16000,1,10.8,FLAC,215091
train,53,01e52080-ed6c-43c7-b9bb-0bae8a0440c3.flac,#e#-ed#c-#c#-b#bb-#bae#a#c#.flac,ivr,16000,1,7.64,FLAC,151950
train,54,05794965-1df6-44eb-b698-b6f25dd37cb1.flac,#-#df#-#eb-b#-b#f#dd#cb#.flac,answering_machine,16000,1,2.4705625,FLAC,31357
train,55,0b8f8493-f8ad-4383-83c9-76951021cac7.flac,#b#f#-f#ad-#-#c#-#cac#.flac,voicemail,16000,1,14.3665625,FLAC,274654
train,56,12557a85-e1d5-4b86-9ee0-b2b1daf7027d.flac,#a#-e#d#-#b#-#ee#-b#b#daf#d.flac,voicemail,16000,1,13.48525,FLAC,250895
train,57,0f20befb-9940-40b0-87cd-c679403724f1.flac,#f#befb-#-#b#-#cd-c#f#.flac,voicemail,16000,1,10.4526875,FLAC,202511
train,58,123cdd25-1d54-4680-82a5-bc1ecf5dc39c.flac,#cdd#-#d#-#-#a#-bc#ecf#dc#c.flac,answering_machine,16000,1,10.3848125,FLAC,200047
train,59,01e4eef1-e80b-409c-99f9-0a858731a108.flac,#e#eef#-e#b-#c-#f#-#a#a#.flac,ivr,16000,1,4.04,FLAC,91700
train,60,00931e3b-feca-4ce7-a30c-ed61d39999e6.flac,#e#b-feca-#ce#-a#c-ed#d#e#.flac,ivr,16000,1,6.4,FLAC,130703
train,61,13c532b0-a5aa-48b3-809c-af2c26884583.flac,#c#b#-a#aa-#b#-#c-af#c#.flac,answering_machine,16000,1,5.485375,FLAC,115236
train,62,06929e67-483a-4085-8136-e655388e4fcd.flac,#e#-#a-#-#-e#e#fcd.flac,answering_machine,16000,1,7.5946875,FLAC,168017
train,63,incomplete_3544921d6bd041bfa72e63e9a4150b38.flac,incomplete_#d#bd#bfa#e#e#a#b#.flac,human,16000,1,2.372125,FLAC,30047
train,64,es_human_tts_00307.wav,es_human_tts_#.wav,human,16000,1,1.632,WAV,52268
train,65,voicemail_00385.wav,voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,66,07d9c715-2320-4d52-ae1a-2a41256878e2.flac,#d#c#-#-#d#-ae#a-#a#e#.flac,voicemail,16000,1,3.28225,FLAC,52565
train,67,0a4eda8d-3697-4d49-914b-838ca3ea71a4.flac,#a#eda#d-#-#d#-#b-#ca#ea#a#.flac,answering_machine,16000,1,8.8235625,FLAC,179937
train,68,60268fcec7abb7f832138d4e.wav,#fcec#abb#f#d#e.wav,human,8000,1,4.096,WAV,32826
train,69,01b29293-a02c-4af3-8fad-91d0af70c946.flac,#b#-a#c-#af#-#fad-#d#af#c#.flac,ivr,16000,1,3.2,FLAC,63558
train,70,ivr_00094.wav,ivr_#.wav,ivr,16000,1,9.5486875,WAV,305602
train,71,0b0f34b9-3d9f-471b-b676-7701c8396eca.flac,#b#f#b#-#d#f-#b-b#-#c#eca.flac,voicemail,16000,1,13.7744375,FLAC,296129
train,72,027db7a5-49ef-4cc0-9408-3f69f6549475.flac,#db#a#-#ef-#cc#-#-#f#f#.flac,ivr,16000,1,7.6,FLAC,157549
train,73,voicemail_00337.wav,voicemail_#.wav,voicemail,16000,1,9.28425,WAV,297140
train,74,carrier_de_human_00285.wav,carrier_de_human_#.wav,human,16000,1,2.136,WAV,68396
train,75,carrier_es_ivr_00235.wav,carrier_es_ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,76,1a17d479-741e-40a5-8c89-821cb5af84c8.flac,#a#d#-#e-#a#-#c#-#cb#af#c#.flac,voicemail,16000,1,8.068875,FLAC,153569
train,77,carrier_de_human_00291.wav,carrier_de_human_#.wav,human,16000,1,2.904,WAV,92972
train,78,voicemail_00235.wav,voicemail_#.wav,voicemail,16000,1,8.287875,WAV,265256
train,79,CAa2087ef087f9529ade0bde233e26f273_0.wav,CAa#ef#f#ade#bde#e#f#_#.wav,human,8000,1,19.14,WAV,153178
train,80,16d1c7d4-f924-40cc-9987-fa1bcd286a0d.flac,#d#c#d#-f#-#cc-#-fa#bcd#a#d.flac,voicemail,16000,1,4.0556875,FLAC,62446
train,81,0735e857-366f-4b3f-b701-1f0ebf8a5f44.flac,#e#-#f-#b#f-b#-#f#ebf#a#f#.flac,answering_machine,16000,1,3.71525,FLAC,60848
train,82,incomplete_6673302f-eeec-4031-8cb0-0b0eefe77f32_normalized.flac,incomplete_#f-eeec-#-#cb#-#b#eefe#f#_normalized.flac,human,16000,1,3.909375,FLAC,73753
train,83,0f317868-e79c-4107-8857-d73eab9f4711.flac,#f#-e#c-#-#-d#eab#f#.flac,voicemail,16000,1,12.55075,FLAC,239321
train,84,1ccfe162-f505-44d5-aa36-61f91e4c6267.flac,#ccfe#-f#-#d#-aa#-#f#e#c#.flac,answering_machine,16000,1,13.794375,FLAC,306992
train,85,1cf6946a-c681-4231-864d-e430a0e79373.flac,#cf#a-c#-#-#d-e#a#e#.flac,answering_machine,16000,1,3.5556875,FLAC,67682
train,86,01485ddc-b4f2-4a2c-abac-47786be79695.flac,#ddc-b#f#-#a#c-abac-#be#.flac,ivr,16000,1,4.96,FLAC,104461
train,87,1d051f83-7a1a-46ab-a713-b99e75aaf27e.flac,#d#f#-#a#a-#ab-a#-b#e#aaf#e.flac,answering_machine,16000,1,7.476,FLAC,161073
train,88,response_46.wav,response_#.wav,human,8000,1,3.242625,WAV,26000
train,89,response_22.wav,response_#.wav,human,8000,1,9.642625,WAV,77200
train,90,human_tts_00187.wav,human_tts_#.wav,human,16000,1,2.688,WAV,86060
train,91,incomplete_534612e7-99eb-403b-90e6-1986de33ff2d_normalized.flac,incomplete_#e#-#eb-#b-#e#-#de#ff#d_normalized.flac,human,16000,1,4.09325,FLAC,89753
train,92,602b98e7bb1e6d0fbce91f31.wav,#b#e#bb#e#d#fbce#f#.wav,human,8000,1,8.277375,WAV,66278
train,93,60266243dc3604f481bcb383.wav,#dc#f#bcb#.wav,human,8000,1,6.4,WAV,51258
train,94,02cb5e86-0fe8-49f6-9da2-3498346765c5.flac,#cb#e#-#fe#-#f#-#da#-#c#.flac,ivr,16000,1,9.64,FLAC,187086
train,95,02ad4a26-ee08-4f9d-9cc5-342ca1be61b7.flac,#ad#a#-ee#-#f#d-#cc#-#ca#be#b#.flac,ivr,16000,1,5.32,FLAC,109790
train,96,complete_0171f57b-8817-45a5-b930-a021dde92674_normalized.flac,complete_#f#b-#-#a#-b#-a#dde#_normalized.flac,human,16000,1,4.06125,FLAC,87159
train,97,03559722-15a1-48af-9fa0-2480df3afb90.flac,#-#a#-#af-#fa#-#df#afb#.flac,ivr,16000,1,10.28,FLAC,208461
train,98,0028bdae-f2b7-4961-ae7b-fe54e7a15caf.flac,#bdae-f#b#-#-ae#b-fe#e#a#caf.flac,ivr,16000,1,6.28,FLAC,130992
train,99,0129cded-e5aa-466b-ad96-6f0c8b705ae4.flac,#cded-e#aa-#b-ad#-#f#c#b#ae#.flac,answering_machine,16000,1,6.0075,FLAC,95439
train,100,ivr_00005.wav,ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,101,0033e616-ca4a-4cbd-834f-db185cd34fdb.flac,#e#-ca#a-#cbd-#f-db#cd#fdb.flac,ivr,16000,1,11.56,FLAC,263000
train,102,02755fd2-cfad-4161-afe7-5d72ddb2f85d.flac,#fd#-cfad-#-afe#-#d#ddb#f#d.flac,voicemail,16000,1,15.87125,FLAC,293215
train,103,de_human_real_00412.wav,de_human_real_#.wav,human,16000,1,10.0,WAV,320044
train,104,0f20adb8-e7d7-47a0-a4ca-2ee80b479c56.flac,#f#adb#-e#d#-#a#-a#ca-#ee#b#c#.flac,answering_machine,16000,1,10.609375,FLAC,206940
train,105,carrier_en_voicemail_00421.wav,carrier_en_voicemail_#.wav,voicemail,16000,1,8.5164375,WAV,272570
train,106,0e660b9b-35b0-49f9-ab0e-2f6f7ef20277.flac,#e#b#b-#b#-#f#-ab#e-#f#f#ef#.flac,answering_machine,16000,1,4.4010625,FLAC,88829
train,107,complete_34d5f85f-ce73-4f43-b34c-7fa5456ef186_normalized.flac,complete_#d#f#f-ce#-#f#-b#c-#fa#ef#_normalized.flac,human,16000,1,3.818625,FLAC,81940
train,108,137a41f0-8efd-4a15-ad7c-c4e65c8704a5.flac,#a#f#-#efd-#a#-ad#c-c#e#c#a#.flac,answering_machine,16000,1,14.452875,FLAC,272455
train,109,ivr_00373.wav,ivr_#.wav,ivr,16000,1,9.3605625,WAV,299582
train,110,02d1e838-962a-4f0d-b237-1fe561065e15.flac,#d#e#-#a-#f#d-b#-#fe#e#.flac,ivr,16000,1,9.04,FLAC,175365
train,111,13b88219-5dd3-4230-ba89-4bb2616ae574.flac,#b#-#dd#-#-ba#-#bb#ae#.flac,voicemail,16000,1,15.1089375,FLAC,312805
train,112,carrier_es_human_00184.wav,carrier_es_human_#.wav,human,16000,1,2.064,WAV,66092
train,113,02f8073e-e42d-4795-b2dc-ab48900c923e.flac,#f#e-e#d-#-b#dc-ab#c#e.flac,ivr,16000,1,14.88,FLAC,314735
train,114,0e541ec7-7197-4711-8252-1120d52e2f97.flac,#e#ec#-#-#-#-#d#e#f#.flac,answering_machine,16000,1,14.2210625,FLAC,284554
train,115,1027031a-2ff0-453c-8a62-dc73dc242d14.flac,#a-#ff#-#c-#a#-dc#dc#d#.flac,answering_machine,16000,1,4.0455,FLAC,59402
train,116,carrier_de_answering_machine_00365.wav,carrier_de_answering_machine_#.wav,answering_machine,16000,1,9.364625,WAV,299712
train,117,de_am_00523.wav,de_am_#.wav,answering_machine,16000,1,9.99925,WAV,320020
train,118,01d7fd5f-b50a-4b2d-8b8c-e2ce4fe6fee0.flac,#d#fd#f-b#a-#b#d-#b#c-e#ce#fe#fee#.flac,ivr,16000,1,9.16,FLAC,174068
train,119,002f71f3-d5fa-4753-a82e-a1bfc61303ab.flac,#f#f#-d#fa-#-a#e-a#bfc#ab.flac,ivr,16000,1,4.96,FLAC,106636
train,120,104f0645-2c4f-410f-8094-e4670170fd07.flac,#f#-#c#f-#f-#-e#fd#.flac,answering_machine,16000,1,10.325375,FLAC,209794
train,121,003be31d-04f5-4fb9-a805-5057d88d489d.flac,#be#d-#f#-#fb#-a#-#d#d#d.flac,ivr,16000,1,4.52,FLAC,99257
train,122,023f379c-2601-4890-bf15-f29fdb25a442.flac,#f#c-#-#-bf#-f#fdb#a#.flac,ivr,16000,1,10.32,FLAC,220435
train,123,am_00042.wav,am_#.wav,answering_machine,16000,1,10.0,WAV,320044
train,124,voicemail_00118.wav,voicemail_#.wav,voicemail,16000,1,9.2050625,WAV,294606
train,125,voicemail_00297.wav,voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,126,carrier_en_voicemail_00456.wav,carrier_en_voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,127,13bc2dc6-9822-4c43-8073-db76823a6c69.flac,#bc#dc#-#-#c#-#-db#a#c#.flac,voicemail,16000,1,14.116,FLAC,257398
train,128,0da4ef27-f661-4204-bae5-29d0144f0ef6.flac,#da#ef#-f#-#-bae#-#d#f#ef#.flac,answering_machine,16000,1,3.6375,FLAC,48854
train,129,voicemail_00176.wav,voicemail_#.wav,voicemail,16000,1,9.2890625,WAV,297294
train,130,001dea92-14a7-474b-88d7-218423dda66b.flac,#dea#-#a#-#b-#d#-#dda#b.flac,ivr,16000,1,4.96,FLAC,105494
train,131,00bdddc9-e8de-4231-ae49-43b9bb251248.flac,#bdddc#-e#de-#-ae#-#b#bb#.flac,answering_machine,16000,1,6.797375,FLAC,133058
train,132,human_tts_00158.wav,human_tts_#.wav,human,16000,1,1.584,WAV,50732
train,133,02595358-b61f-4db8-9979-2600e9fbdfc5.flac,#-b#f-#db#-#-#e#fbdfc#.flac,voicemail,16000,1,11.6023125,FLAC,234473
train,134,voicemail_00310.wav,voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,135,ivr_00286.wav,ivr_#.wav,ivr,16000,1,9.648,WAV,308780
train,136,0cf6ddb3-fa95-454d-b96b-6e71cbf8df3d.flac,#cf#ddb#-fa#-#d-b#b-#e#cbf#df#d.flac,voicemail,16000,1,13.101375,FLAC,254222
train,137,1027744a-a7e7-4284-8491-9cd888e49f4c.flac,#a-a#e#-#-#-#cd#e#f#c.flac,answering_machine,16000,1,5.748,FLAC,114273
train,138,human_real_00113.wav,human_real_#.wav,human,16000,1,3.584,WAV,114732
train,139,carrier_es_answering_machine_00272.wav,carrier_es_answering_machine_#.wav,answering_machine,16000,1,10.0,WAV,320044
train,140,1dc91475-e798-4eed-9857-293b71c53bb2.flac,#dc#-e#-#eed-#-#b#c#bb#.flac,answering_machine,16000,1,8.1073125,FLAC,162424
train,141,0c025967-8517-4427-9226-40306f609564.flac,#c#-#-#-#-#f#.flac,voicemail,16000,1,5.88875,FLAC,109710
train,142,0057a996-09e5-485c-8a47-534c23acdbd6.flac,#a#-#e#-#c-#a#-#c#acdbd#.flac,ivr,16000,1,8.56,FLAC,168169
train,143,response_14.wav,response_#.wav,human,8000,1,5.12,WAV,41018
train,144,1b5fcf28-189f-468c-baba-6d5e0e11916f.flac,#b#fcf#-#f-#c-baba-#d#e#e#f.flac,voicemail,16000,1,4.132,FLAC,69455
train,145,01c83793-35dc-4026-98a7-37e625d9b1d7.flac,#c#-#dc-#-#a#-#e#d#b#d#.flac,ivr,16000,1,0.76,FLAC,15401
train,146,029316ba-60a6-4a22-93e4-7f8ece82bbd1.flac,#ba-#a#-#a#-#e#-#f#ece#bbd#.flac,ivr,16000,1,8.84,FLAC,184276
train,147,response_31.wav,response_#.wav,human,8000,1,7.338625,WAV,58768
train,148,0f0272fb-e55e-4729-a8a1-0455b4097264.flac,#f#fb-e#e-#-a#a#-#b#.flac,answering_machine,16000,1,16.0,FLAC,340686
train,149,ivr_00393.wav,ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,150,01c764e2-5ef9-4866-b090-8e31b10a21d7.flac,#c#e#-#ef#-#-b#-#e#b#a#d#.flac,ivr,16000,1,7.96,FLAC,144405
train,151,carrier_fr_voicemail_00030.wav,carrier_fr_voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,152,01b838c0-edcb-4558-8bff-115ea5c64414.flac,#b#c#-edcb-#-#bff-#ea#c#.flac,ivr,16000,1,4.92,FLAC,110782
train,153,1d5be448-e50c-430e-9e55-d222a7a857a0.flac,#d#be#-e#c-#e-#e#-d#a#a#a#.flac,voicemail,16000,1,5.747,FLAC,118108
train,154,ivr_00224.wav,ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,155,am_00343.wav,am_#.wav,answering_machine,16000,1,10.0,WAV,320044
train,156,voicemail_00041.wav,voicemail_#.wav,voicemail,16000,1,8.480375,WAV,271416
train,157,6026655cdc3604f481bcb4fb.wav,#cdc#f#bcb#fb.wav,human,8000,1,15.104,WAV,120890
train,158,complete_5db3e9fa-83a1-4b12-af80-c3a9c402c457_normalized.flac,complete_#db#e#fa-#a#-#b#-af#-c#a#c#c#_normalized.flac,human,16000,1,3.008,FLAC,61683
train,159,ivr_00104.wav,ivr_#.wav,ivr,16000,1,8.9709375,WAV,287114
train,160,110fe087-50f3-4cbe-a0e3-10331bf3f2c6.flac,#fe#-#f#-#cbe-a#e#-#bf#f#c#.flac,answering_machine,16000,1,7.3386875,FLAC,149679
train,161,de_human_tts_00466.wav,de_human_tts_#.wav,human,16000,1,2.76,WAV,88364
train,162,incomplete_ef50c0c356fb4315adca3cd6529b5941.flac,incomplete_ef#c#c#fb#adca#cd#b#.flac,human,16000,1,3.2209375,FLAC,44913
train,163,complete_f0493d75-3b75-44bc-a10d-c17249a2a273_normalized.flac,complete_f#d#-#b#-#bc-a#d-c#a#a#_normalized.flac,human,16000,1,3.735625,FLAC,82282
train,164,de_human_real_00413.wav,de_human_real_#.wav,human,16000,1,8.86,WAV,283564
train,165,carrier_de_human_00297.wav,carrier_de_human_#.wav,human,16000,1,2.544,WAV,81452
train,166,response_45.wav,response_#.wav,human,8000,1,18.76175,WAV,150152
train,167,0a25b24a-7d73-4b31-b8f7-9bad302337b5.flac,#a#b#a-#d#-#b#-b#f#-#bad#b#.flac,answering_machine,16000,1,7.424,FLAC,160771
train,168,01a056ab-60b8-4c07-ad71-99fb77e2f56a.flac,#a#ab-#b#-#c#-ad#-#fb#e#f#a.flac,ivr,16000,1,6.4,FLAC,128813
train,169,027580a1-0da8-4cdf-ad7a-14ecfbbf62ad.flac,#a#-#da#-#cdf-ad#a-#ecfbbf#ad.flac,ivr,16000,1,6.28,FLAC,131698
train,170,08420435-72a7-4166-9dfe-32c18dc622b1.flac,#-#a#-#-#dfe-#c#dc#b#.flac,voicemail,16000,1,11.61375,FLAC,209090
train,171,1854356b-a360-44ff-bc37-df3726d80ff4.flac,#b-a#-#ff-bc#-df#d#ff#.flac,voicemail,16000,1,16.0,FLAC,323536
train,172,60268f5fdc3604f481bcb864.wav,#f#fdc#f#bcb#.wav,human,8000,1,6.03725,WAV,48356
train,173,am_00287.wav,am_#.wav,answering_machine,16000,1,10.0,WAV,320044
train,174,response_16.wav,response_#.wav,human,8000,1,10.24,WAV,81978
train,175,069d3a50-a3ca-4014-a5f0-20100cd31c43.flac,#d#a#-a#ca-#-a#f#-#cd#c#.flac,answering_machine,16000,1,15.252375,FLAC,293835
train,176,0c90352e-2e2d-43c4-90d4-afcfd13e887c.flac,#c#e-#e#d-#c#-#d#-afcfd#e#c.flac,voicemail,16000,1,3.9405,FLAC,71058
train,177,ivr_00219.wav,ivr_#.wav,ivr,16000,1,8.376,WAV,268076
train,178,029e7f7e-3fdd-404f-b6f7-d08de87f3592.flac,#e#f#e-#fdd-#f-b#f#-d#de#f#.flac,voicemail,16000,1,6.73375,FLAC,130870
train,179,human_real_00084.wav,human_real_#.wav,human,16000,1,5.717375,WAV,183000
train,180,1d6ce38d-6594-4d54-98fb-75ac38978134.flac,#d#ce#d-#-#d#-#fb-#ac#.flac,answering_machine,16000,1,13.2135,FLAC,270993
train,181,1c1423c2-5146-45eb-b654-328e3170b791.flac,#c#c#-#-#eb-b#-#e#b#.flac,voicemail,16000,1,14.0751875,FLAC,284985
train,182,complete_267186fe-91c9-416c-95da-149f065992a6_normalized.flac,complete_#fe-#c#-#c-#da-#f#a#_normalized.flac,human,16000,1,2.53125,FLAC,55729
train,183,0d500640-6958-4e33-9ba2-e25ab1ecce8a.flac,#d#-#-#e#-#ba#-e#ab#ecce#a.flac,answering_machine,16000,1,6.892,FLAC,147135
train,184,14fd4a58-d6fa-4085-b973-4ed211bdb189.flac,#fd#a#-d#fa-#-b#-#ed#bdb#.flac,voicemail,16000,1,4.214375,FLAC,85250
train,185,0a947896-96c8-4871-bc67-d18e23d9fbd6.flac,#a#-#c#-#-bc#-d#e#d#fbd#.flac,answering_machine,16000,1,12.27125,FLAC,272247
train,186,0a6ec18d-8d79-4625-bf8e-8eebd79cfd30.flac,#a#ec#d-#d#-#-bf#e-#eebd#cfd#.flac,answering_machine,16000,1,4.742625,FLAC,64876
train,187,0006b31b-e955-4346-bc62-1966fec6f549.flac,#b#b-e#-#-bc#-#fec#f#.flac,answering_machine,16000,1,3.406875,FLAC,60143
train,188,1907c08f-69f9-43b6-940a-5e8dadc001c2.flac,#c#f-#f#-#b#-#a-#e#dadc#c#.flac,answering_machine,16000,1,4.3991875,FLAC,70884
train,189,0363a364-89e8-4deb-88a8-c8ff042319c8.flac,#a#-#e#-#deb-#a#-c#ff#c#.flac,answering_machine,16000,1,4.564,FLAC,101968
train,190,108afcf6-4bc3-407c-b081-7cf045f761b9.flac,#afcf#-#bc#-#c-b#-#cf#f#b#.flac,answering_machine,16000,1,16.0,FLAC,297189
train,191,0f08887e-5c9f-4b57-9e21-e21f7ac2f80a.flac,#f#e-#c#f-#b#-#e#-e#f#ac#f#a.flac,answering_machine,16000,1,13.674625,FLAC,235572
train,192,13c953fe-a09b-4adc-a4e3-454c9d424d02.flac,#c#fe-a#b-#adc-a#e#-#c#d#d#.flac,voicemail,16000,1,10.9648125,FLAC,208828
train,193,01b02709-5e5a-429d-9907-ae39b5b8080d.flac,#b#-#e#a-#d-#-ae#b#b#d.flac,answering_machine,16000,1,7.3386875,FLAC,147347
